GEOID,NAME,county_name,state_name,pop_change_abs,age_change_abs,white_change_abs,black_change_abs,hispanic_change_abs,foreign_change_abs,housing_change_abs,ownership_change_abs,real_income_change_abs,poverty_change_abs,unemployment_change_abs,college_change_abs,hs_change_abs,pop_change_abs_z,age_change_abs_z,white_change_abs_z,black_change_abs_z,hispanic_change_abs_z,foreign_change_abs_z,housing_change_abs_z,ownership_change_abs_z,real_income_change_abs_z,poverty_change_abs_z,unemployment_change_abs_z,college_change_abs_z,hs_change_abs_z,stability_index,stability_rank,stability_percentile
17191,"Wayne County, Illinois",Wayne County,Illinois,3.007157033740302,0.10000000000000142,1.6417537184894258,0.21613938849168035,0.5089257593362402,0.8412047708953773,3.073822121441169,0.8303414888552112,0.17963399573369188,1.4119598832729032,1.9820536029759142,2.035221231207741,0.4789931448920157,-0.5099346811343235,-1.1460169580442188,-0.5832247403342513,-0.5411000487902778,-0.6868903556369569,0.016129585118218406,-0.4073794416992079,-0.7424275312119447,-1.6188760050935278,-0.7409966592563495,-0.7941607856973615,-0.26681841018773583,-0.031690185153801724,-0.6194912474709029,35,1.1871508379888267
17179,"Tazewell County, Illinois",Tazewell County,Illinois,3.382595383890721,1.2000000000000028,1.6701192392014406,0.09028397911283115,0.5015820422113686,0.12374358244796824,1.5430441785151447,1.081173010618258,10.768421790647128,0.609596378257578,2.7491752873708912,1.2383249333004436,0.23014454273591411,-0.44302493476243504,-0.24510337993641737,-0.5783654289438351,-0.6424935305784619,-0.6927981984154701,-0.7007121122519515,-0.690344331945745,-0.6365313126343078,-0.6334943333200709,-1.0582376198324945,-0.48895363262125646,-0.7649001524795334,-0.46297039805123613,-0.6183022589056321,36,1.2220670391061452
27017,"Carlton County, Minnesota",Carlton County,Minnesota,2.630539091165679,0.7000000000000028,1.3433232917722364,0.6757477103686713,0.29565406085385026,0.26641006917566434,0.12723455690565558,1.3856548424192852,19.736847030638792,0.9446653122746014,2.032072921711224,1.17759469787838,0.038069647305960075,-0.5770546517145114,-0.6546095518035994,-0.6343490044193931,-0.1708236479273353,-0.8584622779095571,-0.5581688107459398,-0.952057283873274,-0.5079849705051861,0.2010980702035373,-0.9257570298974437,-0.774260091738944,-0.8028581923753735,-0.7958559400054523,-0.6162417986701901,37,1.2569832402234637
18045,"Fountain County, Indiana",Fountain County,Indiana,3.140806963886601,0.8999999999999986,2.006955731993628,0.14376853805394657,0.4531579062109796,0.23452783862859494,0.5359193568967717,1.1388159145215582,12.630310994305738,0.016337989137952036,4.407291082930383,0.4205524028906886,0.3702561383949359,-0.4861159025648814,-0.49080708305673004,-0.5206618026733814,-0.5994045153370049,-0.7317542444220272,-0.590023512615968,-0.8765117417459384,-0.6121955931510125,-0.4602288442298658,-1.292801953900221,0.17074457657793482,-1.2760301047888938,-0.2201425972050158,-0.6143025630086927,38,1.291899441340782
54069,"Ohio County, West Virginia",Ohio County,West Virginia,3.94030394030394,0,1.8515313773934565,0.7434787607201399,0.3051925465718569,0.5398048501496775,0.31720481015055396,0.13270986728107914,17.625799415001737,2.06073856258638,0.5419425896873884,2.452938703693622,0.03161418308175712,-0.3436314177067324,-1.2279181924176563,-0.5472876257747635,-0.1162571652135591,-0.850788796890493,-0.28501009219607487,-0.9169412096523462,-1.0369541129016042,0.00464615625649636,-0.48448054138680746,-1.3671235781987774,-0.005733690597663174,-0.8070439232243396,-0.6141941684541785,39,1.3268156424581006
42063,"Indiana County, Pennsylvania",Indiana County,Pennsylvania,5.557128458341356,0.8000000000000043,1.4193912763038128,0.26536479904707955,0.28901066455031477,0.05139208792464145,1.7574050896954525,0.07198834894137462,6.571909316330146,4.190025681949553,2.031922992398809,1.082977433794392,0.17566597614342072,-0.055484726282184336,-0.5727083174301618,-0.6213177603455368,-0.5014423511728441,-0.8638067295284407,-0.7730011349565878,-0.6507196352445758,-1.0625895638739176,-1.0240174562357134,0.357403575808034,-0.7743197426385804,-0.8619965418313753,-0.5573873551680737,-0.6124144414538428,40,1.3617318435754189
17147,"Piatt County, Illinois",Piatt County,Illinois,0.8820686321894635,1.2000000000000028,1.753280681038845,0.6922112093835845,0.4519415533596258,0.356432854517702,0.9165526675786594,0.5541604898195658,8.807021999301607,0.4063149590150603,1.20423627492164,2.4067165921753784,0.4149211419817931,-0.888662975429886,-0.24510337993641737,-0.5641190011885793,-0.15756008225481427,-0.7327327708667152,-0.4682237554792924,-0.8061515281832836,-0.8590258089535165,-0.8160201750732307,-1.138611655172682,-1.1036233092289962,-0.03462376060786517,-0.14273355375810598,-0.6120916735487218,41,1.3966480446927374
26007,"Alpena County, Michigan",Alpena County,Michigan,1.1319335202790506,1,2.0418637670953643,0.22759425235115938,0.3250818234975692,0.23939259346075215,1.9013071486647068,1.600933443835828,8.107318853805442,1.0015608168347647,3.114099492848421,0.8607929940156662,0.463762597819084,-0.8441326383382802,-0.4089058486832925,-0.5146816899051688,-0.531871613271658,-0.8347883547360068,-0.5851629582510416,-0.6241192844159947,-0.4170985074703286,-0.8811338281757475,-0.9032615095923596,-0.34376483127717894,-1.0008678267974758,-0.05808628915939266,-0.6113750138518405,42,1.431564245810056
39013,"Belmont County, Ohio",Belmont County,Ohio,4.6408665625492524,0.3999999999999986,1.7548518558411388,0.776559487679092,0.40801482122169297,0.10657385273663311,2.040563554729834,0.46030069774133153,12.287141363689166,0.5182437648689753,3.004506581708596,1.83466216869793,0.04648180283793124,-0.21877878250503094,-0.900313254923912,-0.5638498424556713,-0.08960618451271611,-0.7680707642605318,-0.7178670167789756,-0.598377684309695,-0.8986515983587162,-0.4921638561375817,-1.0943568982410856,-0.3873674840071551,-0.39217324939282,-0.7812768095730498,-0.60791180195822625,43,1.4664804469273742
51023,"Botetourt County, Virginia",Botetourt County,Virginia,1.900015103458692,1.3999999999999986,1.228056880447454,1.2082711436086937,0.6783925274386737,0.6986070925437275,2.0782061799289036,1.6358307878759462,3.2800622113599225,0.0253149760523268,2.2174882767918733,0.30549266681141063,0.28550055536622665,-0.7072469315294841,-0.08130091118954806,-0.6540953503853131,0.25819569495581257,-0.5505584401903311,-0.12634496742426382,-0.5914194305947987,-0.4023655235683198,-1.3303533528787994,-1.2892526050901185,-0.7004907096292565,-1.3479455522122272,-0.3670327367362723,-0.6069392935748399,44,1.5013966480446927
